ZIP,Studio,1BR,2BR,3BR,4BR,Division,Region,,,,,,,,,,,,,
66111,"$1,074 ","$1,183 ","$1,346 ","$1,756 ","$2,078 ",West North Central,Midwest,,,,,,,Georgia (GA),$932 ,$972 ,"$1,151 ","$1,465 ","$1,712 ",0
56601,$802 ,$832 ,"$1,092 ","$1,316 ","$1,549 ",West North Central,Midwest,,,,,,,Guam (GU),"$1,222 ","$1,345 ","$1,765 ","$2,473 ","$2,964 ",0
55066,$712 ,$877 ,"$1,039 ","$1,456 ","$1,745 ",West North Central,Midwest,,,,,,,Hawaii (HI),"$1,630 ","$1,684 ","$2,201 ","$2,941 ","$3,417 ",0
55403,"$1,220 ","$1,381 ","$1,685 ","$2,244 ","$2,513 ",West North Central,Midwest,,,,,,,Idaho (ID),$836 ,$908 ,"$1,127 ","$1,565 ","$1,872 ",0
63010,$951 ,$984 ,"$1,215 ","$1,570 ","$1,806 ",West North Central,Midwest,,,,,,,Illinois (IL),$736 ,$814 ,"$1,015 ","$1,315 ","$1,484 ",0
63033,$951 ,$984 ,"$1,215 ","$1,570 ","$1,806 ",West North Central,Midwest,,,,,,,Indiana (IN),$764 ,$836 ,"$1,042 ","$1,327 ","$1,510 ",0
64114,"$1,074 ","$1,183 ","$1,346 ","$1,756 ","$2,078 ",West North Central,Midwest,,,,,,,Iowa (IA),$693 ,$746 ,$938 ,"$1,215 ","$1,344 ",0
68073,$772 ,$854 ,$983 ,"$1,226 ","$1,451 ",West North Central,Midwest,,,,,,,Kansas (KS),$674 ,$735 ,$928 ,"$1,200 ","$1,358 ",0
68123,$990 ,"$1,052 ","$1,261 ","$1,675 ","$1,864 ",West North Central,Midwest,,,,,,,Kentucky (KY),$705 ,$776 ,$969 ,"$1,259 ","$1,419 ",0
68116,$990 ,"$1,052 ","$1,261 ","$1,675 ","$1,864 ",West North Central,Midwest,,,,,,,Louisiana (LA),$799 ,$867 ,"$1,054 ","$1,357 ","$1,577 ",0
58563,$753 ,$758 ,$928 ,"$1,300 ","$1,558 ",West North Central,Midwest,,,,,,,Maine (ME),$893 ,$958 ,"$1,206 ","$1,571 ","$1,748 ",0
58701,$721 ,$808 ,"$1,040 ","$1,457 ","$1,746 ",West North Central,Midwest,,,,,,,Maryland (MD),"$1,354 ","$1,445 ","$1,716 ","$2,214 ","$2,547 ",0
58103,$694 ,$836 ,"$1,012 ","$1,418 ","$1,699 ",West North Central,Midwest,,,,,,,Massachusetts (MA),"$1,566 ","$1,679 ","$2,086 ","$2,564 ","$2,885 ",0
57701,$751 ,$835 ,"$1,095 ","$1,506 ","$1,839 ",West North Central,Midwest,,,,,,,Michigan (MI),$755 ,$837 ,"$1,046 ","$1,338 ","$1,492 ",0
57401,$672 ,$676 ,$872 ,"$1,218 ","$1,467 ",West North Central,Midwest,,,,,,,Minnesota (MN),$775 ,$862 ,"$1,081 ","$1,432 ","$1,644 ",0
57110,$748 ,$882 ,"$1,030 ","$1,412 ","$1,730 ",West North Central,Midwest,,,,,,,Mississippi (MS),$796 ,$828 ,$995 ,"$1,267 ","$1,392 ",0
19931,"$1,031 ","$1,066 ","$1,398 ","$1,763 ","$2,197 ",South Atlantic,South,,,,,,,Missouri (MO),$691 ,$730 ,$918 ,"$1,200 ","$1,383 ",0
19901,"$1,173 ","$1,181 ","$1,492 ","$2,080 ","$2,278 ",South Atlantic,South,,,,,,,Montana (MT),$814 ,$889 ,"$1,116 ","$1,488 ","$1,766 ",0
19808,"$1,372 ","$1,512 ","$1,802 ","$2,171 ","$2,468 ",South Atlantic,South,,,,,,,Nebraska (NE),$653 ,$741 ,$938 ,"$1,191 ","$1,317 ",0
33403,"$1,639 ","$1,830 ","$2,187 ","$2,856 ","$3,415 ",South Atlantic,South,,,,,,,Nevada (NV),$983 ,"$1,080 ","$1,360 ","$1,864 ","$2,255 ",0
33463,"$1,639 ","$1,830 ","$2,187 ","$2,856 ","$3,415 ",South Atlantic,South,,,,,,,New Hampshire (NH),"$1,131 ","$1,212 ","$1,575 ","$2,041 ","$2,209 ",0
33428,"$1,639 ","$1,830 ","$2,187 ","$2,856 ","$3,415 ",South Atlantic,South,,,,,,,New Jersey (NJ),"$1,466 ","$1,627 ","$1,973 ","$2,476 ","$2,797 ",0
31525,$988 ,"$1,076 ","$1,264 ","$1,572 ","$1,943 ",South Atlantic,South,,,,,,,New Mexico (NM),$755 ,$853 ,"$1,039 ","$1,389 ","$1,649 ",0
30189,"$1,591 ","$1,653 ","$1,830 ","$2,205 ","$2,653 ",South Atlantic,South,,,,,,,New York (NY),"$1,130 ","$1,219 ","$1,465 ","$1,837 ","$2,036 ",0
30324,"$1,591 ","$1,653 ","$1,830 ","$2,205 ","$2,653 ",South Atlantic,South,,,,,,,North Carolina (NC),$927 ,$969 ,"$1,158 ","$1,501 ","$1,781 ",0
21030,"$1,407 ","$1,604 ","$1,965 ","$2,529 ","$2,826 ",South Atlantic,South,,,,,,,North Dakota (ND),$776 ,$798 ,$967 ,"$1,300 ","$1,590 ",0
21009,"$1,407 ","$1,604 ","$1,965 ","$2,529 ","$2,826 ",South Atlantic,South,,,,,,,Ohio (OH),$747 ,$807 ,"$1,014 ","$1,290 ","$1,440 ",0
21704,"$2,012 ","$2,056 ","$2,314 ","$2,893 ","$3,413 ",South Atlantic,South,,,,,,,Oklahoma (OK),$715 ,$763 ,$962 ,"$1,250 ","$1,449 ",0
28704,"$1,286 ","$1,347 ","$1,512 ","$1,944 ","$2,566 ",South Atlantic,South,,,,,,,Oregon (OR),$994 ,"$1,090 ","$1,356 ","$1,879 ","$2,209 ",0
28104,"$1,586 ","$1,647 ","$1,824 ","$2,250 ","$2,852 ",South Atlantic,South,,,,,,,Pennsylvania (PA),$854 ,$942 ,"$1,158 ","$1,482 ","$1,658 ",0
27609,"$1,533 ","$1,592 ","$1,763 ","$2,192 ","$2,961 ",South Atlantic,South,,,,,,,Puerto Rico (PR),$493 ,$505 ,$579 ,$760 ,$869 ,0
29621,$787 ,$792 ,$947 ,"$1,204 ","$1,581 ",South Atlantic,South,,,,,,,Rhode Island (RI),"$1,270 ","$1,344 ","$1,656 ","$2,023 ","$2,441 ",0
29680,"$1,136 ","$1,180 ","$1,306 ","$1,599 ","$1,911 ",South Atlantic,South,,,,,,,South Carolina (SC),$919 ,$969 ,"$1,150 ","$1,458 ","$1,697 ",0
29607,"$1,136 ","$1,180 ","$1,306 ","$1,599 ","$1,911 ",South Atlantic,South,,,,,,,South Dakota (SD),$638 ,$729 ,$920 ,"$1,215 ","$1,440 ",0
24487,$698 ,$702 ,$867 ,"$1,128 ","$1,355 ",South Atlantic,South,,,,,,,Tennessee (TN),$887 ,$925 ,"$1,120 ","$1,447 ","$1,654 ",0
24151,$691 ,$780 ,$871 ,"$1,220 ","$1,463 ",South Atlantic,South,,,,,,,Texas (TX),$857 ,$905 ,"$1,109 ","$1,447 ","$1,689 ",0
22305,"$2,012 ","$2,056 ","$2,314 ","$2,893 ","$3,413 ",South Atlantic,South,,,,,,,Utah (UT),$874 ,$977 ,"$1,187 ","$1,586 ","$1,870 ",0
25526,$838 ,$843 ,"$1,106 ","$1,515 ","$1,749 ",South Atlantic,South,,,,,,,Vermont (VT),"$1,045 ","$1,094 ","$1,350 ","$1,744 ","$1,894 ",0
26059,$654 ,$786 ,$954 ,"$1,228 ","$1,379 ",South Atlantic,South,,,,,,,Virginia (VA),"$1,117 ","$1,151 ","$1,345 ","$1,758 ","$2,107 ",0
25309,$723 ,$856 ,"$1,054 ","$1,356 ","$1,397 ",South Atlantic,South,,,,,,,Washington (WA),"$1,060 ","$1,157 ","$1,441 ","$1,971 ","$2,302 ",0
36526,$972 ,"$1,043 ","$1,244 ","$1,550 ","$1,975 ",East South Central,South,,,,,,,West Virginia (WV),$697 ,$754 ,$927 ,"$1,215 ","$1,378 ",0
35601,$726 ,$756 ,$923 ,"$1,214 ","$1,456 ",East South Central,South,,,,,,,Wisconsin (WI),$754 ,$832 ,"$1,052 ","$1,349 ","$1,511 ",0
35226,$998 ,"$1,144 ","$1,267 ","$1,583 ","$1,791 ",East South Central,South,,,,,,,Wyoming (WY),$764 ,$790 ,"$1,010 ","$1,352 ","$1,660 ",
42104,$735 ,$791 ,"$1,022 ","$1,369 ","$1,408 ",East South Central,South,,,,,,,,,,,,,
42301,$854 ,$860 ,"$1,128 ","$1,494 ","$1,496 ",East South Central,South,,,,,,,,,,,,,
40241,"$1,003 ","$1,094 ","$1,330 ","$1,714 ","$1,989 ",East South Central,South,,,,,,,,,,,,,
39159,$770 ,$775 ,$933 ,"$1,165 ","$1,242 ",East South Central,South,,,,,,,,,,,,,
39402,$656 ,$783 ,$933 ,"$1,232 ","$1,237 ",East South Central,South,,,,,,,,,,,,,
39213,"$1,045 ","$1,051 ","$1,232 ","$1,484 ","$1,633 ",East South Central,South,,,,,,,,,,,,,
37801,"$1,256 ","$1,264 ","$1,548 ","$1,989 ","$2,335 ",East South Central,South,,,,,,,,,,,,,
38017,"$1,105 ","$1,207 ","$1,355 ","$1,781 ","$2,086 ",East South Central,South,,,,,,,,,,,,,
38133,"$1,105 ","$1,207 ","$1,355 ","$1,781 ","$2,086 ",East South Central,South,,,,,,,,,,,,,
72903,$689 ,$694 ,$910 ,"$1,236 ","$1,496 ",West South Central,South,,,,,,,,,,,,,
72032,$887 ,$892 ,"$1,032 ","$1,376 ","$1,628 ",West South Central,South,,,,,,,,,,,,,
72703,$853 ,$925 ,"$1,111 ","$1,557 ","$1,798 ",West South Central,South,,,,,,,,,,,,,
71301,$710 ,$762 ,"$1,000 ","$1,354 ","$1,513 ",West South Central,South,,,,,,,,,,,,,
71111,$767 ,$892 ,"$1,017 ","$1,317 ","$1,394 ",West South Central,South,,,,,,,,,,,,,
70816,"$1,063 ","$1,081 ","$1,222 ","$1,528 ","$2,023 ",West South Central,South,,,,,,,,,,,,,
74055,$890 ,$950 ,"$1,179 ","$1,555 ","$1,796 ",West South Central,South,,,,,,,,,,,,,
73034,$886 ,$961 ,"$1,180 ","$1,575 ","$1,719 ",West South Central,South,,,,,,,,,,,,,
74133,$890 ,$950 ,"$1,179 ","$1,555 ","$1,796 ",West South Central,South,,,,,,,,,,,,,
77840,"$1,034 ","$1,089 ","$1,206 ","$1,690 ","$1,863 ",West South Central,South,,,,,,,,,,,,,
