Product,Zip Code,Price,Location,Area Type,Category
T-Shirt,35601,9.6,"Decatur, AL",Suburban,Clothing
T-Shirt,35226,9.6,"Birmingham, AL",Urban,Clothing
T-Shirt,42104,9.6,"Bowling Green, KY",Rural,Clothing
T-Shirt,42301,9.6,"Owensboro, KY",Suburban,Clothing
T-Shirt,40241,9.6,"Louisville, KY",Urban,Clothing
T-Shirt,39159,9.6,"Rolling Fork, MS",Rural,Clothing
T-Shirt,39402,9.6,"Hattiesburg, MS",Suburban,Clothing
T-Shirt,39213,9.6,"Jackson, MS",Urban,Clothing
T-Shirt,37801,9.6,"Maryville, TN",Rural,Clothing
T-Shirt,38017,9.6,"Collierville, TN",Suburban,Clothing
T-Shirt,38133,9.6,"Memphis, TN",Urban,Clothing
Eggs,36526,4.99,"Daphne, AL",Rural,Food
Eggs,35601,4.99,"Decatur, AL",Suburban,Food
Eggs,35226,4.99,"Birmingham, AL",Urban,Food
Eggs,42104,4.99,"Bowling Green, KY",Rural,Food
Eggs,42301,4.99,"Owensboro, KY",Suburban,Food
Eggs,40241,4.99,"Louisville, KY",Urban,Food
Eggs,39159,4.99,"Rolling Fork, MS",Rural,Food
Eggs,39402,4.99,"Hattiesburg, MS",Suburban,Food
Eggs,39213,4.99,"Jackson, MS",Urban,Food
Eggs,37801,4.99,"Maryville, TN",Rural,Food
Eggs,38017,4.99,"Collierville, TN",Suburban,Food
Eggs,38133,4.99,"Memphis, TN",Urban,Food
Shampoo,36526,9.99,"Daphne, AL",Rural,Toiletries
Shampoo,35601,9.99,"Decatur, AL",Suburban,Toiletries
Shampoo,35226,9.99,"Birmingham, AL",Urban,Toiletries
Shampoo,42104,9.99,"Bowling Green, KY",Rural,Toiletries
Shampoo,42301,9.99,"Owensboro, KY",Suburban,Toiletries
Shampoo,40241,9.99,"Louisville, KY",Urban,Toiletries
Shampoo,39159,9.99,"Rolling Fork, MS",Rural,Toiletries
Shampoo,39402,9.99,"Hattiesburg, MS",Suburban,Toiletries
Shampoo,39213,9.99,"Jackson, MS",Urban,Toiletries
Shampoo,37801,9.99,"Maryville, TN",Rural,Toiletries
Shampoo,38017,9.99,"Collierville, TN",Suburban,Toiletries
Shampoo,38133,9.99,"Memphis, TN",Urban,Toiletries
Milk,36526,3.59,"Daphne, AL",Rural,Food
Milk,35601,2.99,"Decatur, AL",Suburban,Food
Milk,35226,2.99,"Birmingham, AL",Urban,Food
Milk,42104,2.59,"Bowling Green, KY",Rural,Food
Milk,42301,2.59,"Owensboro, KY",Suburban,Food
Milk,40241,2.99,"Louisville, KY",Urban,Food
Milk,39159,4.19,"Rolling Fork, MS",Rural,Food
Milk,39402,4.19,"Hattiesburg, MS",Suburban,Food
Milk,39213,4.19,"Jackson, MS",Urban,Food
Milk,37801,4.69,"Maryville, TN",Rural,Food
Milk,38017,4.69,"Collierville, TN",Suburban,Food
Milk,38133,4.69,"Memphis, TN",Urban,Food
