Zip Code,AirPods,Bananas,Cotton Swabs,Diapers,Eggs,Gum,Milk,Shampoo,T-Shirt,Toilet Paper,Vegetable Oil,Location,Area Type,Closest Distro Center,Unemployment Rate,Studio,1BR,2BR,3BR,4BR,Division,Region,Median Income,Population,Monthly Costs
21009,179.99,1.99,3.39,44.99,4.99,1.79,2.49,9.99,9.6,12.99,9.39,"Abingdon, MD",Suburban,48.19782714140958,4.5,1407,1604,1965,2529,2826,South Atlantic,South,117017,31835,4647
21030,179.99,1.99,3.39,44.99,4.99,1.79,2.49,9.99,9.6,12.99,9.39,"Cockeysville, MD",Rural,44.976965300840774,3.9,1407,1604,1965,2529,2826,South Atlantic,South,97875,26156,4463
21704,179.99,1.99,3.39,44.99,4.99,1.69,2.49,9.99,9.6,12.99,9.39,"Frederick, MD",Urban,40.151196269763105,1.9,2012,2056,2314,2893,3413,South Atlantic,South,164457,19275,4922
22305,179.99,1.99,3.39,44.99,5.19,1.89,3.79,9.99,9.6,13.79,9.99,"Alexandria, VA",Urban,17.986789235230344,3.4,2012,2056,2314,2893,3413,South Atlantic,South,109124,17849,5182
24151,179.99,1.99,3.39,44.99,4.99,1.79,3.89,9.99,9.6,12.99,9.39,"Rocky Mount, VA",Suburban,87.86572426136124,3.2,691,780,871,1220,1463,South Atlantic,South,65267,18785,3496
24487,179.99,1.99,3.39,44.99,4.99,1.79,3.89,9.99,9.6,12.99,9.39,"Williamsville, VA",Rural,34.11528101091152,2.5,698,702,867,1128,1355,South Atlantic,South,80625,286,3598
25309,179.99,1.99,3.39,44.99,4.99,1.79,3.99,9.99,9.6,12.99,9.39,"South Charleston, WV",Urban,141.6733462730397,2.9,723,856,1054,1356,1397,South Atlantic,South,52920,13146,3706
25526,179.99,1.99,3.39,44.99,4.99,1.79,3.99,9.99,9.6,12.99,9.39,"Hurricane, WV",Rural,129.69708356796593,3.2,838,843,1106,1515,1749,South Atlantic,South,81187,22578,4188
26059,179.99,1.99,3.39,44.99,4.99,1.79,3.99,9.99,9.6,12.99,9.39,"Triladelphia, WV",Suburban,145.3608802152409,5.8,654,786,954,1228,1379,South Atlantic,South,69922,3164,3582
27609,179.99,1.99,3.39,44.99,4.99,1.79,2.49,9.99,9.6,12.99,9.39,"Raleigh, NC",Urban,124.84609951406783,5.3,1533,1592,1763,2192,2961,South Atlantic,South,81538,36218,4932
28104,179.99,1.99,3.39,44.99,4.99,1.79,2.19,9.99,9.6,12.99,9.39,"Matthews, NC",Suburban,52.078751524166805,3.2,1586,1647,1824,2250,2852,South Atlantic,South,129775,34521,4722
28704,179.99,1.99,3.39,44.99,4.99,1.79,2.49,9.99,9.6,12.99,9.39,"Arden, NC",Rural,71.76654642307516,3.1,1286,1347,1512,1944,2566,South Atlantic,South,79088,23734,4943
29607,179.99,1.99,3.39,44.99,4.99,1.79,2.69,9.99,9.6,12.99,9.39,"Greenville, SC",Urban,80.40422325834282,4.7,1136,1180,1306,1599,1911,South Atlantic,South,69249,44216,3855
29621,179.99,1.99,3.39,44.99,4.99,1.79,2.69,9.99,9.6,12.99,9.39,"Anderson, SC",Rural,106.31657195681295,5.8,787,792,947,1204,1581,South Atlantic,South,71446,44601,3760
29680,179.99,1.99,3.39,44.99,4.99,1.79,2.69,9.99,9.6,12.99,9.39,"Simpsonville, SC",Suburban,85.37206854846961,3.8,1136,1180,1306,1599,1911,South Atlantic,South,85143,34784,4126
30189,179.99,1.99,3.39,44.99,4.99,1.79,2.59,9.99,9.6,12.99,9.39,"Woodstock, GA",Suburban,134.7143296082586,3,1591,1653,1830,2205,2653,South Atlantic,South,109324,39327,5464
30324,179.99,1.99,3.39,44.99,4.99,1.79,2.59,9.99,9.6,12.99,9.39,"Atlanta, GA",Urban,153.2354469078431,5.5,1591,1653,1830,2205,2653,South Atlantic,South,93815,30942,5137
31525,179.99,1.99,3.39,44.99,4.99,1.79,3.69,9.99,9.6,12.99,9.39,"Brunswick, GA",Rural,33.10062749029526,6.6,988,1076,1264,1572,1943,South Atlantic,South,65896,28766,3984
33403,179.99,1.99,3.39,44.99,4.99,1.79,2.99,9.99,9.6,12.99,9.39,"North Palm Beach, FL",Rural,283.29737013472754,4,1639,1830,2187,2856,3415,South Atlantic,South,69050,13778,4790
33428,179.99,1.99,3.39,44.99,4.99,1.79,2.99,9.99,9.6,12.99,9.39,"Boca Raton, FL",Urban,305.5204875175257,4.3,1639,1830,2187,2856,3415,South Atlantic,South,85939,42828,4790
33463,179.99,1.99,3.39,44.99,4.99,1.79,2.99,9.99,9.6,12.99,9.39,"Lake Worth, FL",Suburban,293.9826429305797,4.3,1639,1830,2187,2856,3415,South Atlantic,South,68697,64608,4790
35226,179.99,1.99,3.39,44.99,4.99,1.79,2.99,9.99,9.6,12.99,9.39,"Birmingham, AL",Urban,86.10966753,2.7,998,1144,1267,1583,1791,East South Central,South,126053,38471,3949
35601,179.99,1.99,3.39,44.99,4.99,1.79,2.99,9.99,9.6,12.99,9.39,"Decatur, AL",Suburban,9.547999810291554,3.4,726,756,923,1214,1456,East South Central,South,50216,34958,3630
36526,179.99,1.99,3.39,44.99,4.99,1.79,3.59,9.99,9.6,12.99,9.39,"Daphne, AL",Rural,263.35696515904243,2,972,1043,1244,1550,1975,East South Central,South,90733,35720,4248
37801,179.99,1.99,3.39,44.99,4.99,1.79,4.69,9.99,9.6,12.99,9.39,"Maryville, TN",Rural,155.60413983696404,3.6,1256,1264,1548,1989,2335,East South Central,South,70814,28822,3494
38017,179.99,1.99,3.29,44.99,4.99,1.79,4.69,9.99,9.6,12.99,9.39,"Collierville, TN",Suburban,161.78790801273158,3.1,1105,1207,1355,1781,2086,East South Central,South,135946,55114,4468
38133,179.99,1.99,3.29,44.99,4.99,1.79,4.69,9.99,9.6,12.99,9.39,"Memphis, TN",Urban,171.51306271730905,5.8,1105,1207,1355,1781,2086,East South Central,South,82485,22482,4468
39159,179.99,1.99,3.39,44.99,4.99,1.79,4.19,9.99,9.6,12.99,9.39,"Rolling Fork, MS",Rural,265.28944529759366,6.1,770,775,933,1165,1242,East South Central,South,36613,2933,3582
39213,179.99,1.99,3.39,44.99,4.99,1.79,4.19,9.99,9.6,12.99,9.39,"Jackson, MS",Urban,249.03862641317278,10.3,1045,1051,1232,1484,1633,East South Central,South,28115,19507,3964
39402,179.99,1.99,3.39,44.99,4.99,1.79,4.19,9.99,9.6,12.99,9.39,"Hattiesburg, MS",Suburban,272.91438349267133,4.4,656,783,933,1232,1237,East South Central,South,71254,44633,3615
40241,179.99,1.99,3.39,44.99,4.99,1.79,2.99,9.99,9.6,12.99,9.39,"Louisville, KY",Urban,107.21409601538029,3.8,1003,1094,1330,1714,1989,East South Central,South,95775,31016,3291
42104,179.99,1.99,3.39,44.99,4.99,1.79,2.59,9.99,9.6,12.99,9.39,"Bowling Green, KY",Rural,155.80769801312704,5.9,735,791,1022,1369,1408,East South Central,South,73975,37309,3757
42301,179.99,1.99,3.39,44.99,4.99,1.79,2.59,9.99,9.6,12.99,9.39,"Owensboro, KY",Suburban,148.22011047574156,4.7,854,860,1128,1494,1496,East South Central,South,62010,44883,3718
44870,179.99,1.99,3.39,44.99,4.49,1.79,2.89,9.99,9.6,12.99,9.39,"Sandusky, OH",Rural,106.71898265738653,9.8,790,795,1003,1213,1487,East North Central,Midwest,58797,40416,3539
45236,179.99,1.99,3.39,44.99,4.49,1.79,2.69,9.99,9.6,12.99,10.29,"Deer Park, OH",Suburban,75.47246002990686,6.3,883,993,1287,1707,1885,East North Central,Midwest,81990,24223,3335
45249,179.99,1.99,3.39,44.99,4.49,1.79,2.69,9.99,9.6,12.99,10.29,"Cincinnatti, OH",Urban,69.63588623,6.3,883,993,1287,1707,1885,East North Central,Midwest,107227,14005,3335
46237,179.99,1.99,3.39,44.99,3.99,1.79,2.69,9.99,9.6,12.99,9.39,"Indianapolis, IN",Urban,12.812084292264474,4.3,955,1097,1283,1669,2028,East North Central,Midwest,76676,44378,3622
46383,179.99,1.99,3.39,44.99,4.49,1.69,2.59,9.99,9.6,12.99,9.39,"Valparasio, IN",Suburban,45.29595346278177,3.8,860,985,1197,1475,1587,East North Central,Midwest,75575,41981,3729
47401,179.99,1.99,3.39,44.99,4.49,1.79,2.79,9.99,9.6,12.99,9.39,"Bloomington, IN",Rural,45.27921819551486,6.4,955,1097,1283,1669,2028,East North Central,Midwest,65643,41225,3575
48374,179.99,1.99,3.39,44.99,3.99,1.79,2.69,9.99,9.6,12.99,9.39,"Novi, MI",Suburban,174.47877116247685,2.4,991,1090,1378,1688,1827,East North Central,Midwest,185203,18008,3827
48507,179.99,1.99,3.39,44.99,3.99,1.79,2.69,9.99,9.6,12.99,9.39,"Flint, MI",Urban,156.5657474296963,13.3,691,806,986,1215,1397,East North Central,Midwest,47165,30149,3275
49855,179.99,1.99,3.39,44.99,3.99,1.79,3.79,9.99,9.6,12.99,9.39,"Marquette, MI",Rural,154.6266254623032,4.7,723,893,1054,1270,1670,East North Central,Midwest,62321,32929,3667
50009,179.99,1.99,3.39,44.99,4.99,1.79,2.79,9.99,9.6,12.99,9.39,"Altoona, IA",Suburban,76.76708067729247,3.3,954,1017,1216,1632,1638,West North Central,Midwest,90393,21230,3658
50702,179.99,1.99,3.39,44.99,4.99,1.79,2.79,9.99,9.6,12.99,9.39,"Waterloo, IA",Rural,7.976256100157591,6.4,684,760,997,1301,1674,West North Central,Midwest,59784,20447,3313
52404,179.99,1.99,3.39,44.99,4.99,1.79,2.79,9.99,9.6,12.99,9.39,"Cedar Rapids, IA",Urban,55.28371673,3.9,601,668,877,1140,1284,West North Central,Midwest,62304,43385,3403
53085,179.99,1.99,3.39,44.99,3.99,1.79,3.49,9.99,9.6,12.99,9.39,"Sheboygan Falls, WI",Suburban,54.81793782493264,1.4,723,851,1055,1329,1458,East North Central,Midwest,72037,11671,3360
53207,179.99,1.99,3.39,44.99,4.49,1.79,3.49,9.99,9.6,12.99,9.39,"Miluakee, WI",Urban,30.039190313072456,5.1,939,1056,1257,1558,1701,East North Central,Midwest,79576,34292,3551
54235,179.99,1.99,3.39,44.99,3.99,1.79,3.49,9.99,9.6,12.99,9.39,"Sturgeon Bay, WI",Rural,106.52051557865923,4.6,803,864,1134,1371,1503,East North Central,Midwest,68141,17829,3669
55066,179.99,1.99,3.39,44.99,4.99,1.79,3.69,9.99,9.6,12.99,9.39,"Red Wing, MN",Suburban,35.094579548998645,3.6,712,877,1039,1456,1745,West North Central,Midwest,70529,18732,3747
55403,179.99,1.99,3.39,44.99,4.99,1.79,3.69,9.99,9.6,12.99,9.39,"Minneapolis, MN",Urban,3.757187684379771,3.9,1220,1381,1685,2244,2513,West North Central,Midwest,59928,17707,4132
56601,179.99,1.99,3.39,44.99,4.99,1.79,3.69,9.99,9.6,12.99,9.39,"Bemidji, MN",Rural,182.81466752162584,5.2,802,832,1092,1316,1549,West North Central,Midwest,69782,34647,3670
57110,179.99,1.99,3.39,44.99,4.99,1.79,2.89,9.99,9.6,12.99,9.39,"Sioux Falls, SD",Urban,196.7421574002426,2.4,748,882,1030,1412,1730,West North Central,Midwest,87114,22013,3434
57401,179.99,1.99,3.39,44.99,5.99,1.79,3.19,9.99,9.6,12.99,9.39,"Aberdeen, SD",Suburban,258.1522874,4.2,672,676,872,1218,1467,West North Central,Midwest,68183,32275,3456
57701,179.99,1.99,3.39,44.99,4.99,1.79,3.89,9.99,9.6,12.99,9.39,"Rapid City, SD",Rural,311.6903672165585,2.4,751,835,1095,1506,1839,West North Central,Midwest,52733,46258,3748
58103,179.99,1.99,3.39,44.99,4.99,1.79,3.79,9.99,9.6,12.99,9.39,"Fargo, ND",Urban,210.21083210158332,4.5,694,836,1012,1418,1699,West North Central,Midwest,57699,46754,3105
58563,179.99,1.99,3.39,44.99,4.99,1.79,3.79,9.99,9.6,12.99,9.39,"New Salem, ND",Rural,412.1235371780271,1.6,753,758,928,1300,1558,West North Central,Midwest,76250,2010,3514
58701,179.99,1.99,3.39,44.99,4.99,1.79,3.79,9.99,9.6,12.99,9.39,"Minot, ND",Suburban,436.9958912716289,1.6,721,808,1040,1457,1746,West North Central,Midwest,75329,32517,3291
59718,179.99,1.99,3.39,44.99,4.99,1.79,3.59,9.99,9.6,12.99,9.39,"Bozeman, MT",Urban,510.3371632541556,1.7,1234,1385,1778,2491,2942,Mountain,West,91852,43831,3957
59901,179.99,1.99,3.39,44.99,4.99,1.79,3.79,9.99,9.6,12.99,9.39,"Kalispell, MT",Suburban,397.2682968781523,3.5,1024,1064,1396,1860,2344,Mountain,West,70391,57900,3631
60014,179.99,1.99,3.39,44.99,4.49,1.69,2.79,9.99,9.6,12.99,9.39,"Crystal Lake, IL",Suburban,28.53319910541132,2.9,1458,1560,1761,2262,2657,East North Central,Midwest,104657,48275,4781
60610,179.99,2.19,3.39,44.99,3.99,1.69,2.89,9.99,9.6,13.79,10.39,"Chicago, IL",Urban,6.845740587597672,6.4,1458,1560,1761,2262,2657,East North Central,Midwest,105649,43794,4322
61401,179.99,1.99,3.39,44.99,3.99,1.69,2.89,9.99,9.6,12.99,9.39,"Galesburg, IL",Rural,108.70919352600386,0,653,663,870,1130,1153,East North Central,Midwest,47728,31169,3469
63010,179.99,1.99,3.39,44.99,4.99,1.79,4.59,9.99,9.6,12.99,9.39,"Arnold, MO",Rural,237.8138108171216,4.5,951,984,1215,1570,1806,West North Central,Midwest,76839,35027,3755
63033,179.99,1.99,3.39,44.99,4.99,1.79,4.59,9.99,9.6,12.99,9.39,"Florissant, MO",Suburban,215.9225001059311,4.1,951,984,1215,1570,1806,West North Central,Midwest,63979,43175,3911
64114,179.99,1.99,3.39,44.99,4.99,1.79,4.59,9.99,9.6,12.99,9.39,"Kansas City, MO",Urban,58.87638462359567,3.4,1074,1183,1346,1756,2078,West North Central,Midwest,77643,24008,3818
66062,179.99,1.99,3.39,44.99,4.99,1.79,3.59,9.99,9.6,12.99,9.39,"Olathe, KS",Suburban,49.72375283721171,1.3,1074,1183,1346,1756,2078,West North Central,Midwest,116248,77553,4244
66111,179.99,1.99,3.39,44.99,4.99,1.79,3.59,9.99,9.6,12.99,9.39,"Kansas City, KS",Urban,49.23042663603389,4.7,1074,1183,1346,1756,2078,West North Central,Midwest,67117,10506,3658
67401,179.99,1.99,3.39,44.99,4.99,1.79,3.29,9.99,9.6,12.99,9.39,"Salina, KS",Rural,105.81517921060939,2.7,665,707,927,1117,1330,West North Central,Midwest,62603,50338,3520
